feature,importance
elo_diff,0.31520414
goal_difference_per_match_2y_diff,0.1268636
neutral,0.06991145
goal_difference_last_5_diff,0.050497446
goals_against_per_match_2y_diff,0.048402853
match_importance,0.040253192
goals_against_last_5_diff,0.032165777
matches_played_2y_diff,0.031974778
points_last_10_diff,0.02935263
loss_rate_2y_diff,0.020465918
goals_for_per_match_2y_diff,0.019722022
failed_to_score_rate_2y_diff,0.019442637
losses_last_5_diff,0.018983223
draw_rate_2y_diff,0.018917616
weighted_goal_difference_last_5_diff,0.017661529
goals_for_last_5_diff,0.017185722
win_rate_2y_diff,0.01710184
weighted_points_last_5_diff,0.016546262
points_last_5_diff,0.016460001
clean_sheet_rate_2y_diff,0.015809674
failed_to_score_last_5_diff,0.014739658
clean_sheets_last_5_diff,0.014515167
wins_last_5_diff,0.014482176
draws_last_5_diff,0.013340764
